NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_SERIE;ID_TIPO_REDE;PC_ALUNO_ALFABETIZADO;VL_MEDIA_LP;PC_ALUNO_NIVEL_0_LP;PC_ALUNO_NIVEL_1_LP;PC_ALUNO_NIVEL_2_LP;PC_ALUNO_NIVEL_3_LP;PC_ALUNO_NIVEL_4_LP;PC_ALUNO_NIVEL_5_LP;PC_ALUNO_NIVEL_6_LP;PC_ALUNO_NIVEL_7_LP;PC_ALUNO_NIVEL_8_LP
2025;11;RO;1101559;Teixeirópolis;2;5;88.17;768.49140;1.75000;0.00000;1.67000;3.33000;6.83000;38.92000;39.17000;8.33000;0.00000
2025;11;RO;1101559;Teixeirópolis;2;3;88.17;768.49140;1.75000;0.00000;1.67000;3.33000;6.83000;38.92000;39.17000;8.33000;0.00000
2025;11;RO;1101609;Theobroma;2;3;86.26;770.05740;1.68000;0.00000;1.57000;5.58000;10.99000;35.64000;27.63000;13.02000;3.89000
2025;11;RO;1101609;Theobroma;2;5;86.26;770.05740;1.68000;0.00000;1.57000;5.58000;10.99000;35.64000;27.63000;13.02000;3.89000
2025;11;RO;1101708;Urupá;2;5;79.23;771.89580;0.00000;0.83000;3.02000;8.35000;10.69000;30.53000;26.89000;11.74000;7.95000
2025;11;RO;1101708;Urupá;2;3;79.23;771.89580;0.00000;0.83000;3.02000;8.35000;10.69000;30.53000;26.89000;11.74000;7.95000
2025;11;RO;1101757;Vale do Anari;2;3;73.98;757.47270;2.31000;4.36000;5.36000;4.63000;18.58000;34.19000;16.97000;10.64000;2.96000
2025;11;RO;1101757;Vale do Anari;2;5;73.98;757.47270;2.31000;4.36000;5.36000;4.63000;18.58000;34.19000;16.97000;10.64000;2.96000
2025;11;RO;1101807;Vale do Paraíso;2;3;79.00;762.76620;0.00000;1.12000;0.00000;8.91000;18.56000;37.37000;25.23000;8.81000;0.00000
2025;11;RO;1101807;Vale do Paraíso;2;5;79.00;762.76620;0.00000;1.12000;0.00000;8.91000;18.56000;37.37000;25.23000;8.81000;0.00000
2025;12;AC;1200013;Acrelândia;2;5;68.70;756.25020;2.82000;2.38000;7.97000;2.42000;26.14000;24.20000;17.19000;13.23000;3.65000
2025;12;AC;1200013;Acrelândia;2;3;68.70;756.25020;2.82000;2.38000;7.97000;2.42000;26.14000;24.20000;17.19000;13.23000;3.65000
2025;12;AC;1200054;Assis Brasil;2;5;71.71;755.19480;1.51000;1.52000;10.71000;1.54000;22.21000;36.26000;16.93000;5.47000;3.86000
2025;12;AC;1200054;Assis Brasil;2;3;71.71;755.19480;1.51000;1.52000;10.71000;1.54000;22.21000;36.26000;16.93000;5.47000;3.86000
2025;12;AC;1200104;Brasiléia;2;2;70.79;756.56470;0.00000;6.40000;5.34000;3.06000;24.03000;26.53000;22.08000;7.70000;4.87000
2025;12;AC;1200104;Brasiléia;2;5;71.17;756.02870;1.70000;4.37000;6.01000;4.28000;21.60000;29.13000;22.32000;7.97000;2.62000
2025;12;AC;1200104;Brasiléia;2;3;71.27;755.88740;2.15000;3.84000;6.19000;4.61000;20.95000;29.82000;22.38000;8.04000;2.03000
2025;12;AC;1200138;Bujari;2;5;35.56;717.36510;8.49000;16.78000;12.39000;9.86000;26.06000;13.35000;11.67000;1.40000;0.00000
2025;12;AC;1200138;Bujari;2;3;35.56;717.36510;8.49000;16.78000;12.39000;9.86000;26.06000;13.35000;11.67000;1.40000;0.00000
2025;12;AC;1200179;Capixaba;2;5;44.66;728.94850;8.11000;7.92000;21.34000;2.67000;19.04000;24.21000;10.51000;4.11000;2.09000
2025;12;AC;1200179;Capixaba;2;3;44.66;728.94850;8.11000;7.92000;21.34000;2.67000;19.04000;24.21000;10.51000;4.11000;2.09000
2025;12;AC;1200203;Cruzeiro do Sul;2;2;75.89;763.00570;1.42000;2.78000;6.53000;3.38000;17.61000;26.19000;24.98000;12.84000;4.26000
2025;12;AC;1200203;Cruzeiro do Sul;2;3;59.49;744.29190;2.76000;5.16000;13.78000;4.56000;22.44000;28.47000;12.79000;8.92000;1.12000
2025;12;AC;1200203;Cruzeiro do Sul;2;5;67.61;753.55630;2.10000;3.98000;10.19000;3.98000;20.05000;27.34000;18.83000;10.86000;2.68000
2025;12;AC;1200252;Epitaciolândia;2;3;71.86;755.91480;3.13000;3.48000;8.78000;2.91000;19.97000;26.82000;21.02000;9.87000;4.00000
2025;12;AC;1200252;Epitaciolândia;2;5;71.86;755.91480;3.13000;3.48000;8.78000;2.91000;19.97000;26.82000;21.02000;9.87000;4.00000
2025;12;AC;1200302;Feijó;2;3;78.72;759.90070;1.35000;4.76000;2.87000;2.92000;24.56000;29.59000;18.68000;12.38000;2.90000
2025;12;AC;1200302;Feijó;2;2;82.91;771.22640;2.70000;1.19000;4.52000;1.84000;10.29000;26.86000;31.42000;16.86000;4.32000
2025;12;AC;1200302;Feijó;2;5;81.26;766.75890;2.16000;2.60000;3.87000;2.27000;15.92000;27.93000;26.39000;15.09000;3.76000
2025;12;AC;1200328;Jordão;2;3;64.54;744.96930;6.97000;2.04000;7.33000;2.88000;25.84000;30.89000;24.04000;0.00000;0.00000
2025;12;AC;1200328;Jordão;2;2;83.62;765.72000;0.00000;0.00000;6.51000;2.65000;13.73000;41.20000;25.53000;8.44000;1.93000
2025;12;AC;1200328;Jordão;2;5;74.26;755.54040;3.42000;1.00000;6.91000;2.76000;19.67000;36.14000;24.80000;4.30000;0.98000
2025;12;AC;1200336;Mâncio Lima;2;5;58.34;745.58580;5.34000;5.13000;7.89000;6.18000;23.03000;23.41000;20.90000;6.21000;1.91000
2025;12;AC;1200336;Mâncio Lima;2;3;58.34;745.58580;5.34000;5.13000;7.89000;6.18000;23.03000;23.41000;20.90000;6.21000;1.91000
2025;12;AC;1200344;Manoel Urbano;2;5;60.42;743.53900;5.58000;4.13000;8.74000;3.89000;28.17000;27.40000;13.55000;8.10000;0.45000
2025;12;AC;1200344;Manoel Urbano;2;3;60.42;743.53900;5.58000;4.13000;8.74000;3.89000;28.17000;27.40000;13.55000;8.10000;0.45000
2025;12;AC;1200351;Marechal Thaumaturgo;2;5;77.01;765.28940;1.85000;1.82000;2.50000;4.51000;18.42000;28.16000;25.44000;13.45000;3.85000
2025;12;AC;1200351;Marechal Thaumaturgo;2;3;77.01;765.28940;1.85000;1.82000;2.50000;4.51000;18.42000;28.16000;25.44000;13.45000;3.85000
2025;12;AC;1200385;Plácido de Castro;2;2;50.64;735.49920;5.05000;10.90000;13.61000;6.81000;12.99000;25.93000;19.99000;2.19000;2.53000
2025;12;AC;1200385;Plácido de Castro;2;5;54.76;734.31810;7.14000;7.82000;10.92000;5.44000;22.66000;26.82000;15.83000;2.88000;0.49000
2025;12;AC;1200385;Plácido de Castro;2;3;55.75;734.03340;7.64000;7.08000;10.28000;5.11000;24.99000;27.03000;14.82000;3.05000;0.00000
2025;12;AC;1200393;Porto Walter;2;3;73.31;758.31590;2.55000;0.82000;5.05000;3.36000;24.34000;33.27000;19.50000;7.59000;3.52000
2025;12;AC;1200393;Porto Walter;2;5;73.31;758.31590;2.55000;0.82000;5.05000;3.36000;24.34000;33.27000;19.50000;7.59000;3.52000
2025;12;AC;1200401;Rio Branco;2;2;70.04;755.63300;2.77000;3.74000;8.17000;4.53000;18.01000;26.80000;22.60000;9.97000;3.41000
2025;12;AC;1200401;Rio Branco;2;3;69.25;754.19560;2.44000;4.23000;8.88000;4.78000;17.47000;25.82000;23.56000;11.10000;1.71000
2025;12;AC;1200401;Rio Branco;2;5;69.79;755.18020;2.67000;3.90000;8.39000;4.61000;17.84000;26.49000;22.90000;10.33000;2.87000
2025;12;AC;1200427;Rodrigues Alves;2;3;67.07;750.29610;1.96000;3.65000;8.63000;3.82000;23.29000;33.96000;18.21000;5.06000;1.43000
2025;12;AC;1200427;Rodrigues Alves;2;5;67.07;750.29610;1.96000;3.65000;8.63000;3.82000;23.29000;33.96000;18.21000;5.06000;1.43000
2025;12;AC;1200435;Santa Rosa do Purus;2;3;66.63;755.21940;0.00000;1.15000;17.97000;8.25000;12.19000;22.45000;23.36000;12.14000;2.47000
2025;12;AC;1200435;Santa Rosa do Purus;2;5;66.63;755.21940;0.00000;1.15000;17.97000;8.25000;12.19000;22.45000;23.36000;12.14000;2.47000
2025;12;AC;1200450;Senador Guiomard;2;2;59.54;742.03640;5.15000;7.43000;12.24000;4.94000;19.68000;25.29000;15.47000;8.99000;0.80000
2025;12;AC;1200450;Senador Guiomard;2;3;54.42;732.89440;7.85000;6.93000;14.00000;4.91000;22.93000;26.61000;8.95000;5.88000;1.94000
2025;12;AC;1200450;Senador Guiomard;2;5;56.94;737.38620;6.52000;7.18000;13.13000;4.93000;21.33000;25.96000;12.15000;7.41000;1.38000
2025;12;AC;1200500;Sena Madureira;2;2;78.33;762.85240;0.00000;0.00000;3.10000;3.10000;30.95000;24.23000;32.80000;5.83000;0.00000
2025;12;AC;1200500;Sena Madureira;2;5;77.26;760.25140;2.40000;3.28000;5.55000;1.97000;17.95000;29.26000;25.69000;12.13000;1.78000
2025;12;AC;1200500;Sena Madureira;2;3;77.18;760.04900;2.58000;3.53000;5.74000;1.88000;16.93000;29.65000;25.13000;12.63000;1.92000
2025;12;AC;1200609;Tarauacá;2;3;66.27;749.90020;2.88000;2.75000;10.69000;4.91000;19.57000;32.65000;19.05000;5.24000;2.26000
